No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Amount of Payment Schedule (ex GST),Section of Act application made under,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s22(4)(b) extension of time sought,Determination released,Determination released date,Adjudicated amount (ex GST),Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Region name,Description of work processed,Work category,Adjudicate ratio,Log claimed amount
158,2022-01-05,2022-01-06,Landscaping works,3630,1389461.62,0.0,s.18(1)(a)(i),Major subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-01-28,,Yes,Yes,Yes,2022-01-31,1025664.64,52800.0,0.5,0.5,26400.0,26400.0,No,,,Northern Victoria,landscaping works,0,0.7381741425862486,14.144426906336653
159,2022-01-05,2022-01-07,Mechanical Services,3121,105835.0,,s.18(1)(b),Trade subcontractor,Trust,None,Major subcontractor,Pty Ltd Company,None,Determined,2022-01-17,,No,No,Yes,2022-01-18,105835.0,6954.55,0.0,1.0,0.0,6954.55,No,,,Northern Metropolitan,mechanical services,2,1.0,11.56963655655427
160,2022-01-06,2022-01-11,Roofing and cladding works,3977,14002.48,9000.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,South-Eastern Metropolitan,roofing cladding works,0,,9.546989735766596
161,2022-01-10,2022-01-17,Shop drawings and steel supply,3109,6500.0,,s.18(1)(b),Consultant,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2022-02-01,,No,No,Yes,2022-02-03,6500.0,990.0,0.0,1.0,0.0,990.0,No,,,North-Eastern Metropolitan,shop drawings steel supply,1,1.0,8.779557455883728
162,2022-01-13,2022-01-19,Concreting works,3630,107714.05,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,2022-02-03,,Yes,Yes,Yes,2022-02-15,11484.9,12760.0,0.5,0.5,6380.0,6380.0,No,,,Northern Victoria,concreting works,0,0.10662397338137411,11.587235309603473
163,2022-01-13,2022-01-17,Structural Steel,3931,123504.55,,s.18(1)(b),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-02-03,,No,No,Yes,2022-02-04,123504.55,4662.56,0.0,1.0,0.0,4662.56,Yes,500.0,2022-02-17,Eastern Victoria,structural steel,6,1.0,11.724033276476778
164,2022-01-16,2022-01-19,Carpentry Services,3073,10080.0,10080.0,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,carpentry services,2,,9.21830854162536
165,2022-01-18,2022-01-19,Construction works,3152,142260.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,North-Eastern Metropolitan,construction works,0,,11.865411648287505
166,2022-01-18,2022-01-21,Formwork Concrete,3057,306241.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,1227.27,1.0,0.0,1227.27,0.0,,,,Northern Metropolitan,formwork concrete,2,,12.632127652654143
167,2022-01-18,2022-01-21,Geotechnical investigations and design development works,3125,50000.0,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-11,,No,Yes,Yes,2022-02-17,49425.0,4090.91,0.0,1.0,0.0,4090.91,No,,,Southern Metropolitan,geotechnical investigations design development works,0,0.9885,10.819778284410283
168,2022-01-19,,Plumbing works,3044,8000.0,,s.18(1)(b),Trade subcontractor,Trust,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,plumbing works,0,,8.987196820661973
169,2022-01-19,,Plumbing works,3046,3743.0,,s.18(1)(b),Trade subcontractor,Trust,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,plumbing works,0,,8.22764270790443
170,2022-01-21,2022-01-25,Structural Work,3056,391370.83,318315.7,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-08,,Yes,No,Yes,2022-04-11,318315.7,11454.55,0.5,0.5,5727.27,5727.28,No,,,Northern Metropolitan,structural work,2,0.813335270796753,12.87741080382905
171,2022-01-24,2022-01-26,Construction works,3040,14587.05,,s.18(1)(b),Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2022-02-01,,No,No,Yes,2022-02-02,14587.05,1200.0,0.0,1.0,0.0,1200.0,No,,,Western Metropolitan,construction works,0,1.0,9.587889427789943
172,2022-01-25,,Structural steel works,3124,18238.85,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Southern Metropolitan,structural steel works,6,,9.811309213395084
173,2022-01-25,2022-01-28,Structural steel works,3030,13719.09,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Western Metropolitan,structural steel works,6,,9.526543572549562
174,2022-01-25,2022-01-28,Structural steel works,3148,11702.4,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,structural steel works,6,,9.367549227955061
175,2022-01-25,2022-01-28,Structural steel works,3809,10045.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,No jurisdiction,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,structural steel works,6,,9.214830277249035
176,2022-02-01,2022-02-03,Internal and external painting,3136,7257.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-16,,No,No,Yes,2022-02-18,0.0,1363.64,1.0,0.0,1363.64,0.0,No,,,North-Eastern Metropolitan,internal external painting,2,0.0,8.889721799278137
177,2022-02-02,2022-02-03,Supply and installation of walls in apartment building,3130,10236.86,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-15,,No,No,Yes,2022-02-15,0.0,2860.0,1.0,0.0,2860.0,0.0,No,,,North-Eastern Metropolitan,supply installation walls apartment building,1,0.0,9.233750210944649
178,2022-02-03,2022-02-09,Formwork Concrete,3057,146427.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,0.0,0.0,0.0,0.0,No,,,Northern Metropolitan,formwork concrete,2,,11.89428228973443
179,2022-02-04,2022-02-10,Render and Painting,3168,22744.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-28,,No,No,Yes,2022-03-11,18544.0,3068.18,0.0,1.0,0.0,3068.18,No,,,Southern Metropolitan,render painting,2,0.8153359127682026,10.032056653330836
180,2022-02-04,2022-02-10,Render and Painting,3184,14031.82,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-28,,No,No,Yes,2022-03-11,0.0,1363.64,1.0,0.0,1363.64,0.0,No,,,Southern Metropolitan,render painting,2,0.0,9.549082886707566
181,2022-02-04,2022-02-10,Render and Painting,3162,7080.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-28,,No,No,Yes,2022-03-11,0.0,681.82,1.0,0.0,681.82,0.0,No,,,Southern Metropolitan,render painting,2,0.0,8.865029186687766
182,2022-02-08,2022-02-09,Steel framing works,3910,49117.0,22408.65,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,steel framing works,6,,10.80196048603731
183,2022-02-08,,Structural steel works,3844,161593.25,132507.78,s.18(1)(a)(ii),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Eastern Victoria,structural steel works,6,,11.99283765439477
184,2022-02-09,2022-02-14,Concreting,3004,61843.75,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,2022-02-22,,No,No,Yes,2022-02-23,61843.75,1704.55,0.0,1.0,0.0,1704.55,Yes,500.0,2022-03-03,Southern Metropolitan,concreting,2,1.0,11.032366321784977
185,2022-02-10,2022-02-14,Construction works,3910,19517.24,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-08,,Yes,Yes,Yes,2022-03-08,22788.96,2400.0,0.0,1.0,0.0,2400.0,No,,,Eastern Victoria,construction works,0,1.167632308666594,9.879053456527465
186,2022-02-11,2022-02-15,Civil works,3103,83452.57,17949.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,2022-02-28,,No,Yes,Yes,2022-02-28,22355.65,5000.0,0.5,0.5,2500.0,2500.0,No,,,Southern Metropolitan,civil works,0,0.2678845001418171,11.332033725500128
187,2022-02-11,2022-02-16,Waterproofing,3078,29601.94,5476.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-02-25,,No,No,Yes,2022-03-01,0.0,2454.55,1.0,0.0,2454.55,0.0,No,,,Northern Metropolitan,waterproofing,2,0.0,10.295595178705005
188,2022-02-14,2022-02-14,Construction works,3910,26708.35,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-08,,Yes,Yes,Yes,2022-03-08,25517.44,2400.0,0.0,1.0,0.0,2400.0,No,,,Eastern Victoria,construction works,0,0.9554105738467558,10.192731529579628
189,2022-02-16,2022-02-17,Structural steel works,3065,16827.85,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-04,,Yes,Yes,Yes,2022-03-07,0.0,1200.0,1.0,0.0,1200.0,0.0,No,,,Northern Metropolitan,structural steel works,6,0.0,9.730790530955447
190,2022-02-17,,Security Coordination,3840,225000.0,70460.03,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Eastern Victoria,security coordination,2,,12.323855681186558
191,2022-02-17,,Security Coordination,3840,225000.0,70460.03,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Eastern Victoria,security coordination,2,,12.323855681186558
192,2022-02-17,,Security Coordination,3840,225000.0,70460.03,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Eastern Victoria,security coordination,2,,12.323855681186558
193,2022-02-17,,Security Coordination,3840,225000.0,70460.03,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Eastern Victoria,security coordination,2,,12.323855681186558
194,2022-02-17,,Security Coordination,3840,225000.0,70460.03,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Eastern Victoria,security coordination,2,,12.323855681186558
195,2022-02-21,2022-02-24,Brickworks and Blockwork,3434,16516.84,12625.97,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-03-03,,Yes,No,Yes,2022-03-07,12625.97,1704.55,1.0,0.0,1704.55,0.0,No,,,Northern Victoria,brickworks blockwork,2,0.7644301210158844,9.712135745485009
196,2022-02-21,2022-02-23,Construction works,3025,113065.8,72175.6,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Western Metropolitan,construction works,0,,11.63572522910806
197,2022-02-21,,External Cladding,3000,112251.85,44855.93,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,external cladding,2,,11.628500286537731
199,2022-02-22,2022-02-24,Concrete kerbing at various sites in Victoria,3076,30449.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,1800.0,1.0,0.0,1800.0,0.0,,,,North-Eastern Metropolitan,concrete kerbing various sites victoria,2,,10.323808431876278
200,2022-02-22,2022-02-28,Plastering works ,3190,108895.0,9436.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-15,,Yes,No,Yes,2022-03-21,36955.65,10431.82,0.0,1.0,0.0,10431.82,No,,,Southern Metropolitan,plastering works ,0,0.3393695761972543,11.59813939418471
201,2022-02-23,2022-03-01,Structural steel works,3152,138687.5,1200.29,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-23,,Yes,Yes,Yes,2022-03-23,10439.79,23320.0,0.5,0.5,11660.0,11660.0,No,,,North-Eastern Metropolitan,structural steel works,6,0.07527563767462822,11.839978479674949
202,2022-02-25,2022-02-28,Landscaping works,3925,303654.63,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-13,,Yes,Yes,Yes,2022-03-15,273314.87,22880.0,0.25,0.75,5720.0,17160.0,No,,,Eastern Victoria,landscaping works,0,0.9000846455066402,12.623646249027686
203,2022-03-05,,Build new house,3335,1818.18,0.0,s.18(1)(a)(i),Project manager,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Western Metropolitan,build new house,2,,7.505591279737257
204,2022-03-07,2022-03-10,Plastering and Framing ,3032,139239.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Northern Metropolitan,plastering framing ,2,,11.843947160055288
205,2022-03-07,2022-03-10,Rigging at apartment building site,3121,6205.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-03-17,,No,No,Yes,2022-03-17,0.0,1455.0,1.0,0.0,1455.0,0.0,,,,Northern Metropolitan,rigging apartment building site,2,0.0,8.733110697638708
206,2022-03-11,2022-03-16,Design and construction works,3351,45706.12,,s.18(1)(b),Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,2022-03-25,,Yes,Yes,Yes,2022-03-28,45706.12,3500.0,0.0,1.0,0.0,3500.0,No,,,Western Victoria,design construction works,0,1.0,10.729987484765251
207,2022-03-16,2022-03-16,Civil works,3152,14302.5,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,North-Eastern Metropolitan,civil works,0,,9.568189626142685
208,2022-03-16,2022-03-21,Data Cabling ,3010,34175.33,,s.18(1)(b),Other,Pty Ltd Company,None,Other,Pty Ltd Company,None,Determined,2022-03-25,,No,No,Yes,2022-03-29,0.0,,,,,,,,,Northern Metropolitan,data cabling ,2,0.0,10.439259317726949
209,2022-03-16,2022-03-22,Framing,3032,58040.0,1.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-04-05,,No,No,Yes,2022-04-05,55040.0,,,,,,,,,Northern Metropolitan,framing,2,0.9483115093039284,10.968887706998125
211,2022-03-17,2022-03-18,Construction works,3978,739686.18,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,South-Eastern Metropolitan,construction works,0,,13.513981294151458
212,2022-03-17,2022-03-18,Construction works,3059,652608.07,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,construction works,0,,13.388732028985832
213,2022-03-17,2022-03-18,Construction works,3978,136795.72,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,South-Eastern Metropolitan,construction works,0,,11.826243997131446
214,2022-03-17,2022-03-23,"Design, fabricate and install structural steel",3029,88990.64,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,2022-04-05,,No,No,Yes,2022-04-06,88109.0,8181.82,0.0,1.0,0.0,8181.82,No,,,Western Metropolitan,design fabricate install structural steel,6,0.9900928906680523,11.396286474644352
215,2022-03-21,2022-03-24,Landscaping works,3630,1100140.9,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,Yes,Yes,,,,22000.0,1.0,0.0,22000.0,0.0,,,,Northern Victoria,landscaping works,0,,13.910948820474749
216,2022-03-21,,Structural steel works,3844,43117.94,16932.64,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Eastern Victoria,structural steel works,6,,10.671694430786765
217,2022-03-23,2022-03-29,Concreting /surveying ,3004,32732.5,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-04-06,,No,No,Yes,2022-04-08,32732.5,1363.64,0.0,1.0,0.0,1363.64,Yes,300.0,2022-05-06,Southern Metropolitan,concreting surveying ,2,1.0,10.396123747101909
218,2022-03-23,2022-03-29,Installation of precast metals,3072,93934.23,29291.76,s.18(1)(a)(i),Trade subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Northern Metropolitan,installation precast metals,1,,11.450350135510194
219,2022-03-23,2022-03-25,Structural steel works,3143,17940.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-04-04,,Yes,Yes,Yes,2022-04-04,17940.0,2380.0,0.0,1.0,0.0,2380.0,Yes,0.0,2022-04-12,Southern Metropolitan,structural steel works,6,1.0,9.794788135612787
220,2022-03-25,,Concreting works,3806,15624.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,South-Eastern Metropolitan,concreting works,0,,9.656563472556515
221,2022-03-25,,Construction works,3658,8395.0,,s.18(1)(b),Trade subcontractor,Other,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Victoria,construction works,0,,9.035391569511642
222,2022-03-25,2022-03-31,Design and construction for part demolition and construction ,3810,264887.83,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Other,Pty Ltd Company,None,Determined,2022-04-13,,Yes,No,Yes,2022-05-17,0.0,22027.5,0.5,0.5,11013.75,11013.75,No,,,Eastern Victoria,design construction part demolition construction ,2,0.0,12.487061732339948
223,2022-03-25,2022-03-30,"Sewer, Storm Water, Fire",3978,739686.18,0.0,s.18(1)(a)(i),Trade Contractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,No,No,,,,,,,,,,,South-Eastern Metropolitan,sewer storm water fire,4,,13.513981294151458
224,2022-03-25,2022-03-30,"Sewer, Storm Water, Fire",3059,652608.07,0.0,s.18(1)(a)(i),Other,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,No,No,,,,,,,,,,,Northern Metropolitan,sewer storm water fire,4,,13.388732028985832
225,2022-03-25,2022-03-30,"Sewer, Storm Water, Fire",3978,136795.72,0.0,s.18(1)(a)(i),Other,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Consultant,Determined,2022-04-13,,Yes,No,Yes,2022-05-03,32349.72,12681.82,1.0,0.0,12681.82,0.0,No,,,South-Eastern Metropolitan,sewer storm water fire,4,0.23648196010810865,11.826243997131446
226,2022-03-28,2022-03-28,Construction works,3004,34409879.0,-11075567.0,s.18(1)(a)(i),Other,Pty Ltd Company,None,Other,Pty Ltd Company,Solicitors,Not determined,,Timed out,No,No,,,,,,,,,No,,,Southern Metropolitan,construction works,0,,17.353854261347834
227,2022-03-28,2022-03-30,Structural steel works,3123,28824.55,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2022-04-08,,Yes,Yes,Yes,2022-04-08,28824.55,3500.0,0.0,1.0,0.0,3500.0,No,,,Southern Metropolitan,structural steel works,6,1.0,10.268982733567004
228,2022-03-30,2022-04-05,Plastering and Framing,3032,126580.91,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2022-04-27,,No,No,Yes,2022-05-03,62096.48,11965.91,0.4,0.6,4786.37,7179.54,No,,,Northern Metropolitan,plastering framing,2,0.49056749552519413,11.748636987432858
229,2022-03-30,2022-04-04,Shop Fit out,3163,12772.0,,s.18(1)(b),Trade Contractor,Pty Ltd Company,Claim preparer,Head contractor,Trust,Solicitors,Determined,2022-04-20,,No,No,Yes,2022-04-21,12772.0,990.0,0.0,1.0,0.0,990.0,No,,,Southern Metropolitan,shop fit,2,1.0,9.455010553834672
230,2022-04-05,2022-04-06,Electrical supply and installation,3996,5004.55,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,2022-04-22,,No,No,Yes,2022-04-22,5004.55,600.0,0.0,1.0,0.0,600.0,Yes,0.0,2022-05-02,Eastern Victoria,electrical supply installation,1,1.0,8.518102777617257
231,2022-04-05,2022-04-08,Supply and Install balustrading and louvred slat panels,3140,18072.73,0.0,s.18(1)(a)(i),Consultant,Pty Ltd Company,Claim preparer,Major subcontractor,Pty Ltd Company,Solicitors,Determined,2022-04-27,,No,No,Yes,2022-04-29,18072.73,1813.64,0.0,1.0,0.0,1813.64,Yes,300.0,2022-05-11,Eastern Victoria,supply install balustrading louvred slat panels,1,1.0,9.802159451311661
232,2022-04-06,2022-04-11,Alterations in existing dwelling,3103,12727.27273,,s.18(1)(b),Head contractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2022-04-21,,No,No,Yes,2022-04-22,12727.27,990.0,0.0,1.0,0.0,990.0,Yes,100.0,2022-05-05,Southern Metropolitan,alterations existing dwelling,2,0.9999997855,9.451502429007357
233,2022-04-06,2022-04-12,Concrete structure works ,3057,241314.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-02,,No,No,Yes,2022-05-03,241314.0,2045.45,0.0,1.0,0.0,2045.45,Yes,500.0,2022-05-16,Northern Metropolitan,concrete structure works ,0,1.0,12.393854268993488
234,2022-04-06,,Earthworks,3029,5956.0,,s.18(1)(b),Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Western Metropolitan,earthworks,2,,8.6921543938039
235,2022-04-06,,Earthworks,3336,3270.0,,s.18(1)(b),Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Western Metropolitan,earthworks,2,,8.0925452638913
236,2022-04-06,,Earthworks,3024,2567.5,,s.18(1)(b),Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,No,,,,,,,,,No,,,Western Metropolitan,earthworks,2,,7.850687941802713
237,2022-04-08,2022-04-13,Metal Work,3140,367980.79,5436.6,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Consultant,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,No,,,Eastern Victoria,metal work,2,,12.815786014701587
238,2022-04-08,2022-04-14,Providing Site Engineer and a Project Engineer ,3030,42300.0,,s.18(1)(b),Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-03,,No,No,Yes,2022-05-04,42300.0,2147.73,0.0,1.0,0.0,2147.73,Yes,500.0,2022-05-13,Western Metropolitan,providing site engineer project engineer ,2,1.0,10.65254236503437
239,2022-04-09,2022-04-13,Supply of structural steel,3123,75649.91,28072.64,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,2022-05-02,,No,Yes,Yes,2022-05-02,0.0,5000.0,1.0,0.0,5000.0,0.0,No,,,Southern Metropolitan,supply structural steel,6,0.0,11.233871529526436
240,2022-04-10,2022-04-14,Steel Fabrication,3195,31280.64,0.0,s.18(1)(a)(i),Manufacturer of building materials or components,Pty Ltd Company,None,Head contractor,Other,None,Determined,2022-05-05,,No,No,Yes,2022-05-09,20475.14,2897.73,0.0,1.0,0.0,2897.73,No,,,South-Eastern Metropolitan,steel fabrication,6,0.6545626943694247,10.350754654807993
241,2022-04-11,2022-04-19,Commercial Contracts Officer,3840,132500.0,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Solicitors,Determined,2022-05-03,,No,No,Yes,2022-05-12,115000.0,1534.09,0.0,1.0,0.0,1534.09,No,,,Eastern Victoria,commercial contracts officer,2,0.8679245283018868,11.794337924408413
